#   X	        Y	        Z	    Scalar field
-2.24634123	0.47013873	0.38125080	-1475.000000
-2.18902135	0.78446263	0.38034111	-1473.000000
-2.19131160	1.05884719	0.38111445	-1626.000000
-2.22775459	0.73167223	0.38039058	-1611.000000
-2.18589640	0.89399040	0.38054192	-1618.000000
-2.19951797	0.79972297	0.38048187	-1566.000000
-2.29474902	0.40624022	0.38099864	-1658.000000
-2.26493406	0.65132344	0.38033766	-1602.000000
-2.25015211	0.75755382	0.38051775	-1647.000000
-2.20367599	0.73505652	0.38068271	-1556.000000
-2.39083433	0.04736600	0.38235170	-1669.000000
-2.19810843	0.83765560	0.38016197	-1637.000000
-2.26603365	0.65880078	0.38084835	-1623.000000
-2.31052089	0.47829428	0.38149121	-1628.000000
-2.20510149	1.09687400	0.38126421	-1549.000000
-2.39257407	0.04764016	0.38225380	-1704.000000
-2.18683505	0.97400773	0.38107872	-1579.000000
-2.39244843	0.04809775	0.38146099	-1835.000000
-2.16538286	0.96851248	0.38148847	-1586.000000
-2.39037609	0.04690791	0.38226143	-1676.000000
-2.39184022	0.04837301	0.38213387	-1709.000000
-2.21366739	0.65861207	0.38144997	-1493.000000
-2.18908143	0.80783999	0.38087848	-1558.000000
-2.39333487	0.04953211	0.38197634	-1723.000000
-2.39254284	0.04913615	0.38225317	-1721.000000
-2.24592805	0.87940961	0.38108221	-1719.000000
-2.28223276	0.42845547	0.38041925	-1610.000000
-2.39178061	0.04913618	0.38249969	-1711.000000
-2.26245832	0.43919545	0.38096750	-1587.000000
-2.18274689	0.96372223	0.38100630	-1654.000000
-2.15515351	1.02548730	0.38155553	-1613.000000
-2.39150548	0.04996014	0.38247019	-1698.000000
-2.22295499	0.79237056	0.38019380	-1644.000000
-2.24541211	0.83738732	0.38058543	-1613.000000
-2.16470885	0.97989517	0.38099715	-1620.000000
-2.39589977	0.05334761	0.38239297	-1711.000000
-2.22460532	0.77866888	0.38047004	-1653.000000
-2.39101696	0.05099704	0.38237932	-1714.000000
-2.28012681	0.45915672	0.38138822	-1639.000000
-2.19172287	0.90595394	0.38021076	-1634.000000
-2.22306967	0.86689466	0.38052303	-1638.000000
-2.39284515	0.05179083	0.38151887	-1765.000000
-2.21597934	0.69791794	0.38069007	-1505.000000
-2.22621775	0.81687689	0.38007900	-1626.000000
-2.17968321	1.07248700	0.38120732	-1601.000000
-2.20315337	1.04160547	0.38080865	-1637.000000
-2.21320534	0.68421584	0.38110295	-1545.000000
-2.20623589	1.03223681	0.38062000	-1620.000000
-2.19377232	0.86924118	0.38019195	-1664.000000
-2.22121572	0.80292952	0.38049942	-1600.000000
-2.25759792	0.77604795	0.38103303	-1621.000000
-2.26394749	0.49437171	0.38114962	-1617.000000
-2.22351933	0.67869282	0.38055250	-1572.000000
-2.22341418	0.78947169	0.38046873	-1590.000000
-2.25412035	0.73790008	0.38011718	-1627.000000
-2.31583500	0.43883589	0.38146287	-1648.000000
-2.39220619	0.05432408	0.38219076	-1686.000000
-2.18696094	0.92108953	0.38043317	-1591.000000
-2.21531320	0.92295492	0.38079634	-1648.000000
-2.24182749	0.68745381	0.38036555	-1675.000000
-2.39574742	0.05704077	0.38275769	-1681.000000
-2.24617505	0.84513843	0.38073212	-1691.000000
-2.39483094	0.05737541	0.38224155	-1698.000000
-2.39089465	0.05542202	0.38237756	-1688.000000
-2.19962215	0.96714216	0.38091773	-1638.000000
-2.39391470	0.05511723	0.38209370	-1698.000000
-2.25041747	0.84086698	0.38075015	-1675.000000
-2.17618203	1.00504279	0.38158786	-1618.000000
-2.24823332	0.47889805	0.38148424	-1523.000000
-2.39040637	0.05615494	0.38231781	-1688.000000
-2.20413709	0.98917675	0.38101399	-1637.000000
-2.22284389	0.69288337	0.37999877	-1568.000000
-2.23913288	0.77159053	0.38036436	-1597.000000
-2.32078052	0.44017971	0.38190383	-1649.000000
