#   X	          Y	         Z	   Intensity
-0.38813800	-1.01265001	0.93965101	0.319951
-0.38707000	-1.00981104	0.93940699	0.319219
-0.38612401	-1.00733900	0.93949902	0.318730
-0.38517800	-1.00486803	0.93956000	0.322148
-0.38407901	-1.00202894	0.93931597	0.322148
-0.38301101	-0.99922198	0.93904102	0.327276
-0.38206500	-0.99675000	0.93910199	0.338262
-0.41197199	-1.07078600	0.94471699	0.403449
-0.41087300	-1.06791699	0.94459498	0.387579
-0.40989700	-1.06541395	0.94477803	0.370733
-0.40879801	-1.06254601	0.94465601	0.362676
-0.40763900	-1.05952501	0.94438201	0.356085
-0.40632600	-1.05613697	0.94377100	0.350469
-0.40498400	-1.05259705	0.94297802	0.343877
-0.40373200	-1.04939306	0.94252002	0.341192
-0.40251201	-1.04618800	0.94206202	0.338018
-0.40129101	-1.04298401	0.94157398	0.335576
-0.40025300	-1.04032898	0.94154400	0.337530
-0.39921600	-1.03764296	0.94154400	0.334112
-0.39799500	-1.03446996	0.94102502	0.330694
-0.39689600	-1.03163099	0.94084197	0.327276
-0.39582801	-1.02879298	0.94065899	0.326787
-0.39445499	-1.02525306	0.93980402	0.321660
-0.39317301	-1.02189600	0.93913299	0.317021
-0.39207500	-1.01908898	0.93888903	0.314336
-0.39112899	-1.01658595	0.93901098	0.316289
-0.39003000	-1.01377904	0.93876600	0.316289
-0.38896200	-1.01094103	0.93852198	0.317021
-0.38801599	-1.00846899	0.93861401	0.317021
-0.38703901	-1.00599694	0.93867499	0.321416
-0.38597101	-1.00315905	0.93843102	0.322637
-0.38487199	-1.00035095	0.93818700	0.326055
-0.38398701	-0.99806201	0.93839997	0.334112
-0.41456601	-1.07350194	0.94511402	0.411994
-0.41352800	-1.07081604	0.94517499	0.395392
-0.41242999	-1.06794703	0.94505298	0.379522
-0.41124001	-1.06489599	0.94477803	0.366583
-0.41014099	-1.06202698	0.94465601	0.360967
-0.40904200	-1.05918896	0.94453400	0.353155
-0.40788299	-1.05613697	0.94422901	0.348760
-0.40669301	-1.05311596	0.94392401	0.342901
-0.40531901	-1.04957604	0.94316101	0.341680
-0.40403700	-1.04618800	0.94252002	0.341192
-0.40300000	-1.04353297	0.94252002	0.338018
-0.40180999	-1.04051197	0.94218397	0.331914
-0.40058899	-1.03730798	0.94169599	0.331914
-0.39936799	-1.03413403	0.94120800	0.328984
-0.39827001	-1.03129601	0.94099402	0.328496
-0.39717099	-1.02845800	0.94081098	0.330205
-0.39601099	-1.02543604	0.94044501	0.324346
