#    X	          Y	         Z	    Scalar field
-2.24229407	0.84751898	0.37892199	-1597.000000
-2.38847399	0.05192600	0.38304099	-1640.000000
-2.38697791	0.05189500	0.38316301	-1626.000000
-2.25318909	0.79975897	0.37910500	-1700.000000
-2.38719201	0.05271900	0.38322401	-1640.000000
-2.39021301	0.05278000	0.38291901	-1640.000000
-2.19166589	0.74519300	0.37821999	-1491.000000
-2.39036608	0.05427600	0.38334700	-1626.000000
-2.38938904	0.05455000	0.38319400	-1647.000000
-2.22257996	0.78041101	0.37879899	-1633.000000
-2.14915490	1.00074804	0.38163799	-1587.000000
-2.27970910	0.46342501	0.37785301	-1590.000000
-2.24330091	0.73112500	0.37791401	-1591.000000
-2.38472009	0.05079700	0.38359100	-1644.000000
-2.25038099	0.66514599	0.37773100	-1658.000000
-2.38651991	0.05119300	0.38310200	-1640.000000
-2.23957801	0.73997498	0.37815899	-1641.000000
-2.38395691	0.05265800	0.38346899	-1639.000000
-2.14582801	1.03211999	0.38139299	-1624.000000
-2.15348792	0.99925202	0.38099700	-1597.000000
-2.21873498	0.84913599	0.37858599	-1634.000000
-2.23960900	0.77470398	0.37803599	-1600.000000
-2.38670301	0.05308500	0.38313299	-1628.000000
-2.38615394	0.05375700	0.38343799	-1646.000000
-2.38618493	0.05448900	0.38307199	-1653.000000
-2.25141907	0.45039400	0.37849399	-1460.000000
-2.38465905	0.05369600	0.38359100	-1639.000000
-2.18556190	0.92698699	0.37947100	-1610.000000
-2.20115709	0.70768702	0.37852499	-1495.000000
-2.23548889	0.80250502	0.37852499	-1673.000000
-2.24848890	0.70784003	0.37754801	-1627.000000
-2.38206506	0.04744000	0.38352999	-1619.000000
-2.38108802	0.04777500	0.38337699	-1619.000000
-2.18653893	0.94584697	0.38005099	-1662.000000
-2.21672106	0.88407898	0.37879899	-1639.000000
-2.18604994	0.94075000	0.38001999	-1633.000000
-2.38154602	0.04853800	0.38343799	-1633.000000
-2.28852797	0.48142999	0.37834200	-1606.000000
-2.21455407	1.00138903	0.38066101	-1651.000000
-2.18434095	0.85151702	0.37892199	-1552.000000
-2.38233900	0.04884300	0.38319400	-1630.000000
-2.25056505	0.76246601	0.37831101	-1619.000000
-2.23976111	0.90129101	0.37968400	-1680.000000
-2.23280311	0.83287001	0.37861601	-1628.000000
-2.19395399	0.98478699	0.38014200	-1635.000000
-2.38050795	0.04957600	0.38365200	-1653.000000
-2.37531996	0.04728700	0.38395700	-1620.000000
-2.22248793	0.70201099	0.37818900	-1569.000000
-2.37861609	0.04774500	0.38334700	-1623.000000
-2.23710608	0.68690503	0.37785301	-1642.000000
-2.19288611	0.94255102	0.37962300	-1628.000000
-2.19871497	0.91453600	0.38026401	-1645.000000
-2.22944593	0.90632600	0.37965399	-1682.000000
-2.24958801	0.46931499	0.37843299	-1464.000000
-2.22297692	0.70484900	0.37764001	-1573.000000
-2.19615197	0.99723798	0.38047799	-1565.000000
-2.17701697	0.86192298	0.37916601	-1584.000000
